venue,ticker,pr_open,pr_high,pr_low,pr_close,volume,turnover,valid_time
MOEX,USD000UTSTOM,60.26,60.6425,60.2,60.3925,1202000,72588942,2022-11-14 04:00:00+00:00
MOEX,USD000UTSTOM,60.3875,60.5475,60.3175,60.4675,1982000,119762007,2022-11-14 04:10:00+00:00
MOEX,USD000UTSTOM,60.4775,60.48,60.3,60.3,3200000,193092992,2022-11-14 04:20:00+00:00
MOEX,USD000UTSTOM,60.3175,60.39,60.3,60.305,2806000,169249205,2022-11-14 04:30:00+00:00
MOEX,USD000UTSTOM,60.33,60.46,60.305,60.415,4488000,271081685,2022-11-14 04:40:00+00:00
MOEX,USD000UTSTOM,60.42,60.6825,60.3375,60.4975,2400000,145101240,2022-11-14 04:50:00+00:00
MOEX,USD000UTSTOM,60.5325,60.6225,60.5325,60.595,1617000,97944145,2022-11-14 05:00:00+00:00
MOEX,USD000UTSTOM,60.595,60.6625,60.595,60.62,866000,52502605,2022-11-14 05:10:00+00:00
MOEX,USD000UTSTOM,60.6,60.6475,60.57,60.6175,746000,45216397,2022-11-14 05:20:00+00:00
MOEX,USD000UTSTOM,60.65,60.6675,60.62,60.655,764000,46336632,2022-11-14 05:30:00+00:00
MOEX,USD000UTSTOM,60.6475,60.68,60.6,60.6,1746000,105868252,2022-11-14 05:40:00+00:00
MOEX,USD000UTSTOM,60.61,60.61,60.5025,60.515,1506000,91188677,2022-11-14 05:50:00+00:00
MOEX,USD000UTSTOM,60.5125,60.5125,60.4075,60.45,6874000,415531235,2022-11-14 06:00:00+00:00
MOEX,USD000UTSTOM,60.4425,60.505,60.4325,60.49,4004000,242142237,2022-11-14 06:10:00+00:00
MOEX,USD000UTSTOM,60.5025,60.5225,60.4675,60.4675,2993000,181051362,2022-11-14 06:20:00+00:00
MOEX,USD000UTSTOM,60.4675,60.4975,60.4625,60.4975,4843000,292890642,2022-11-14 06:30:00+00:00
MOEX,USD000UTSTOM,60.4925,60.52,60.45,60.4575,11064000,669074007,2022-11-14 06:40:00+00:00
MOEX,USD000UTSTOM,60.45,60.51,60.415,60.45,15576000,941598055,2022-11-14 06:50:00+00:00
MOEX,USD000UTSTOM,60.45,60.555,60.4375,60.53,22146000,1339949260,2022-11-14 07:00:00+00:00
MOEX,USD000UTSTOM,60.5275,60.58,60.4725,60.4875,54609000,3305683602,2022-11-14 07:10:00+00:00
MOEX,USD000UTSTOM,60.49,60.5325,60.47,60.5,43285000,2618892180,2022-11-14 07:20:00+00:00
MOEX,USD000UTSTOM,60.5,60.51,60.405,60.4225,42860000,2591707332,2022-11-14 07:30:00+00:00
MOEX,USD000UTSTOM,60.42,60.4625,60.3975,60.435,39863000,2408524480,2022-11-14 07:40:00+00:00
MOEX,USD000UTSTOM,60.43,60.46,60.36,60.385,35503000,2145358375,2022-11-14 07:50:00+00:00
MOEX,USD000UTSTOM,60.3775,60.4275,60.35,60.35,36147000,2182601807,2022-11-14 08:00:00+00:00
MOEX,USD000UTSTOM,60.3575,60.365,60.265,60.31,40180000,2423631645,2022-11-14 08:10:00+00:00
MOEX,USD000UTSTOM,60.3125,60.33,60.225,60.2675,34448000,2076265470,2022-11-14 08:20:00+00:00
MOEX,USD000UTSTOM,60.2675,60.29,60.21,60.255,28973000,1745643267,2022-11-14 08:30:00+00:00
MOEX,USD000UTSTOM,60.2525,60.29,60.2225,60.2575,23784000,1433141147,2022-11-14 08:40:00+00:00
MOEX,USD000UTSTOM,60.2575,60.305,60.255,60.285,20055000,1208968460,2022-11-14 08:50:00+00:00
MOEX,USD000UTSTOM,60.2875,60.3275,60.255,60.305,29225000,1762107850,2022-11-14 09:00:00+00:00
MOEX,USD000UTSTOM,60.305,60.345,60.2775,60.34,20709000,1248732537,2022-11-14 09:10:00+00:00
MOEX,USD000UTSTOM,60.3425,60.4125,60.34,60.4025,17156000,1035681017,2022-11-14 09:20:00+00:00
MOEX,USD000UTSTOM,60.405,60.4575,60.4,60.43,27950000,1688855325,2022-11-14 09:30:00+00:00
MOEX,USD000UTSTOM,60.4275,60.4775,60.38,60.39,17926000,1082876132,2022-11-14 09:40:00+00:00
MOEX,USD000UTSTOM,60.3875,60.39,60.3175,60.34,33276000,2008117582,2022-11-14 09:50:00+00:00
MOEX,USD000UTSTOM,60.3375,60.37,60.3225,60.3275,38163000,2303001072,2022-11-14 10:00:00+00:00
MOEX,USD000UTSTOM,60.335,60.4,60.3325,60.38,32070000,1935761675,2022-11-14 10:10:00+00:00
MOEX,USD000UTSTOM,60.38,60.4125,60.3725,60.3975,24733000,1493668237,2022-11-14 10:20:00+00:00
MOEX,USD000UTSTOM,60.3975,60.4,60.335,60.335,11712000,706925107,2022-11-14 10:30:00+00:00
MOEX,USD000UTSTOM,60.34,60.415,60.335,60.415,23383000,1411409027,2022-11-14 10:40:00+00:00
MOEX,USD000UTSTOM,60.415,60.4425,60.33,60.3375,23367000,1410915680,2022-11-14 10:50:00+00:00
MOEX,USD000UTSTOM,60.34,60.37,60.31,60.37,25646000,1547326537,2022-11-14 11:00:00+00:00
MOEX,USD000UTSTOM,60.3675,60.37,60.3175,60.345,28756000,1735491165,2022-11-14 11:10:00+00:00
MOEX,USD000UTSTOM,60.3375,60.3775,60.3325,60.35,25764000,1555093930,2022-11-14 11:20:00+00:00
MOEX,USD000UTSTOM,60.3475,60.3725,60.34,60.3475,24517000,1479698327,2022-11-14 11:30:00+00:00
MOEX,USD000UTSTOM,60.345,60.465,60.3425,60.465,27233000,1645459950,2022-11-14 11:40:00+00:00
MOEX,USD000UTSTOM,60.47,60.585,60.47,60.57,15256000,923466707,2022-11-14 11:50:00+00:00
MOEX,USD000UTSTOM,60.57,60.615,60.5575,60.5975,21498000,1302567160,2022-11-14 12:00:00+00:00
MOEX,USD000UTSTOM,60.595,60.6125,60.5725,60.6,23160000,1403226665,2022-11-14 12:10:00+00:00
MOEX,USD000UTSTOM,60.605,60.6925,60.605,60.6625,16394000,994336025,2022-11-14 12:20:00+00:00
MOEX,USD000UTSTOM,60.66,60.675,60.63,60.6625,11484000,696535410,2022-11-14 12:30:00+00:00
MOEX,USD000UTSTOM,60.6525,60.6575,60.425,60.495,27743000,1678665497,2022-11-14 12:40:00+00:00
MOEX,USD000UTSTOM,60.4975,60.5475,60.4775,60.4775,34994000,2117462610,2022-11-14 12:50:00+00:00
MOEX,USD000UTSTOM,60.4875,60.5375,60.47,60.49,16328000,987969335,2022-11-14 13:00:00+00:00
MOEX,USD000UTSTOM,60.485,60.515,60.475,60.4875,12196000,737734477,2022-11-14 13:10:00+00:00
MOEX,USD000UTSTOM,60.49,60.55,60.44,60.53,7760000,469351100,2022-11-14 13:20:00+00:00
MOEX,USD000UTSTOM,60.5325,60.6,60.5325,60.5875,10999000,666375337,2022-11-14 13:30:00+00:00
MOEX,USD000UTSTOM,60.59,60.6,60.5375,60.58,9546000,578216580,2022-11-14 13:40:00+00:00
MOEX,USD000UTSTOM,60.575,60.5875,60.46,60.5125,18783000,1136506287,2022-11-14 13:50:00+00:00
MOEX,USD000UTSTOM,60.505,60.555,60.495,60.55,20390000,1234195980,2022-11-14 14:00:00+00:00
MOEX,USD000UTSTOM,60.545,60.5625,60.4725,60.4875,15738000,952455752,2022-11-14 14:10:00+00:00
MOEX,USD000UTSTOM,60.5025,60.5625,60.5025,60.5225,13484000,816280755,2022-11-14 14:20:00+00:00
MOEX,EUR_RUB__TOM,61.05,61.05,61.05,61.05,6000,366300,2022-11-14 03:50:00+00:00
MOEX,EUR_RUB__TOM,62.0425,62.215,61.9,62.12,219000,13606355,2022-11-14 04:00:00+00:00
MOEX,EUR_RUB__TOM,62.025,62.2575,61.9125,62.0775,280000,17400690,2022-11-14 04:10:00+00:00
MOEX,EUR_RUB__TOM,62.1175,62.1175,62.0525,62.0975,234000,14527225,2022-11-14 04:20:00+00:00
MOEX,EUR_RUB__TOM,62.09,62.1,62.09,62.1,52000,3229180,2022-11-14 04:30:00+00:00
MOEX,EUR_RUB__TOM,62.035,62.3075,62.035,62.0825,519000,32230042,2022-11-14 04:40:00+00:00
MOEX,EUR_RUB__TOM,62.2,62.3075,62.085,62.3075,74000,4601457,2022-11-14 04:50:00+00:00
MOEX,EUR_RUB__TOM,62.255,62.29,62.145,62.25,86000,5355800,2022-11-14 05:00:00+00:00
MOEX,EUR_RUB__TOM,62.245,62.3825,62.2225,62.3825,111000,6920797,2022-11-14 05:10:00+00:00
MOEX,EUR_RUB__TOM,62.2925,62.3225,62.2925,62.3225,54000,3363915,2022-11-14 05:20:00+00:00
MOEX,EUR_RUB__TOM,62.2725,62.285,62.2725,62.285,11000,685010,2022-11-14 05:30:00+00:00
MOEX,EUR_RUB__TOM,62.315,62.4,62.245,62.4,62000,3864380,2022-11-14 05:40:00+00:00
MOEX,EUR_RUB__TOM,62.2325,62.3475,62.2,62.3475,200000,12456477,2022-11-14 05:50:00+00:00
MOEX,EUR_RUB__TOM,62.1575,62.25,62.155,62.17,467000,29038925,2022-11-14 06:00:00+00:00
MOEX,EUR_RUB__TOM,62.19,62.2575,62.19,62.2575,291000,18100077,2022-11-14 06:10:00+00:00
MOEX,EUR_RUB__TOM,62.2625,62.265,62.215,62.215,259000,16119332,2022-11-14 06:20:00+00:00
MOEX,EUR_RUB__TOM,62.21,62.3175,62.21,62.3175,1333000,82988785,2022-11-14 06:30:00+00:00
MOEX,EUR_RUB__TOM,62.2725,62.305,62.2225,62.27,5592000,348265267,2022-11-14 06:40:00+00:00
MOEX,EUR_RUB__TOM,62.265,62.2825,62.265,62.275,482000,30014470,2022-11-14 06:50:00+00:00
MOEX,EUR_RUB__TOM,62.265,62.2825,62.1775,62.2125,10082000,627496987,2022-11-14 07:00:00+00:00
